Treatments,mOD_min_mg_protein,Block
CT,116.21,1
CT,150.788,2
CT,121.297,3
CT,124.36,4
CT,124.049,5
CT,138.684,6
CT,181.912,7
CT,160.426,8
CT,145.472,9
CT,152.65,10
MU,389.48,1
MU,460.969,2
MU,494.315,3
MU,659.708,4
MU,447.806,5
MU,1042.199,6
MU,445.374,7
MU,779.91,8
MU,560.002,9
MU,492.91,10
PT,428.111,1
PT,367.198,2
PT,293.76,3
PT,260.747,4
PT,313.376,5
PT,326.336,6
PT,281.902,7
PT,391.486,8
PT,307.855,9
PT,391.035,10
WT,356.367,1
WT,314.782,2
WT,516.349,3
WT,333.413,4
WT,541.758,5
WT,534.699,6
WT,508.894,7
WT,610.102,8
WT,326.606,9
WT,655.25,10
