Treatments,mOD_min_mg_protein,Block
CT,116.897,1
CT,173.91,2
CT,106.93,3
CT,336.453,4
CT,48.442,5
CT,416.63,6
CT,548.038,7
CT,186.118,8
CT,70.901,9
CT,172.72,10
MU,213.852,1
MU,572.857,2
MU,247.396,3
MU,379.204,4
MU,385.71,5
MU,2353.134,6
MU,427.919,7
MU,557.619,8
MU,711.472,9
MU,939.951,10
PT,542.217,1
PT,226.753,2
PT,234.127,3
PT,642.297,4
PT,258.412,5
PT,544.551,6
PT,235.052,7
PT,242.558,8
PT,169.94,9
PT,181.243,10
WT,274.006,1
WT,189.501,2
WT,642.837,3
WT,349.924,4
WT,439.979,5
WT,239.865,6
WT,615.66,7
WT,467.049,8
WT,483.535,9
WT,705.656,10
