Treatments,Inhibition_mg_protein,Block
CT,2670,1
CT,3440,2
CT,3520,3
CT,2590,4
CT,2740,5
CT,2610,6
CT,3440,7
CT,4770,8
CT,3110,9
CT,3360,10
WT,3840,1
WT,4660,2
WT,4740,3
WT,4780,4
WT,3960,5
WT,7980,6
WT,6440,7
WT,5470,8
WT,6860,9
WT,7130,10
GT,7770,1
GT,17700,2
GT,5420,3
GT,9850,4
GT,6160,5
GT,12800,6
GT,5310,7
GT,7270,8
GT,4280,9
GT,4580,10
HT,8210,1
HT,3540,2
HT,4770,3
HT,6780,4
HT,5590,5
HT,8750,6
HT,8580,7
HT,10100,8
HT,4840,9
HT,7560,10
PT,4970,1
PT,5860,2
PT,2810,3
PT,4120,4
PT,3330,5
PT,3990,6
PT,5880,7
PT,7100,8
PT,4550,9
PT,6600,10
